project_id,project_name,project_type,department,sponsor,project_manager,priority,strategic_alignment,business_impact,status,schedule_health,start_date,planned_end_date,actual_end_date,completion_percentage,budget,actual_cost,forecast_cost,is_completed,is_delayed,is_over_budget,is_forecast_over_budget,days_until_due,project_delay_days,total_milestones,completed_milestones,overdue_milestones,total_milestone_delay_days,total_overdue_delay_days,milestone_completion_rate,total_risks,open_risks,high_risks,escalated_risks,portfolio_risk_exposure,max_risk_score,budget_variance,forecast_variance,cost_overrun_percentage,budget_status,budget_variance_category,risk_exposure_flag,traffic_light_status,requires_executive_attention
PMO-0027,Engineering Data Governance Framework,Data Governance,Engineering,Ethan Adams,Michele Williams,High,Medium,High,On Hold,Delayed,2025-06-17,2026-02-25,,35,825000,235452.53,799090.05,False,True,False,False,-132,132,5,5,0,108,0,100.0,2,2,1,1,32,20,589547.47,25909.95,0.0,Within Budget,Under Budget >10%,High,Red,True
PMO-0026,Finance Operational Excellence Program,Operational Excellence,Finance,Matthew Foster,Ryan Munoz,Critical,Low,High,Active,On Track,2025-12-06,2026-10-11,,45,200000,145159.92,242637.91,False,False,False,True,96,0,4,3,0,18,0,75.0,4,4,1,1,45,20,54840.08,-42637.91,0.0,Within Budget,Forecast Over Budget,High,Red,True
PMO-0034,Operations Operational Excellence Program,Operational Excellence,Operations,Lisa Jackson,Daniel Wagner,High,High,High,Active,On Track,2026-05-29,2026-12-03,,12,1015000,22541.98,1203192.67,False,False,False,True,149,0,7,1,0,16,0,14.29,2,2,1,1,37,25,992458.02,-188192.67,0.0,Within Budget,Forecast Over Budget,High,Red,True
PMO-0052,Finance Lean Execution Initiative,Operational Excellence,Finance,Patty Perez,Cristian Santos,High,Medium,Medium,Active,At Risk,2025-09-06,2026-07-10,,95,845000,991164.77,1025519.0,False,False,True,True,3,0,6,2,4,496,472,33.33,4,3,1,0,30,20,-146164.77,-180519.0,17.3,Over Budget,Over Budget,High,Red,True
PMO-0044,Operations Operational Excellence Program,Operational Excellence,Operations,Holly Wood,Gina Moore,High,High,Medium,Active,At Risk,2025-08-01,2026-07-07,,95,1220000,1089651.02,1111420.26,False,False,False,False,0,0,7,3,4,854,809,42.86,3,3,1,0,32,20,130348.98,108579.74,0.0,Within Budget,Under Budget >10%,High,Red,True
PMO-0063,Finance Business System Rollout,System Implementation,Finance,Tommy Walter,Lisa Hensley,Critical,Medium,High,Active,Delayed,2025-09-26,2026-02-09,,88,710000,632935.6,864704.07,False,True,False,True,-148,148,6,4,2,468,394,66.67,3,2,1,0,24,16,77064.4,-154704.07,0.0,Within Budget,Forecast Over Budget,High,Red,True
PMO-0046,Procurement Workflow Automation,Automation,Procurement,Lisa Jackson,Cristian Santos,High,High,Medium,Active,On Track,2025-10-13,2026-11-18,,77,1145000,881325.84,1194960.96,False,False,False,True,134,0,5,1,2,365,335,20.0,1,1,1,0,15,15,263674.16,-49960.96,0.0,Within Budget,Forecast Over Budget,High,Red,True
PMO-0030,Supply Chain Data Visibility Platform,Digital Transformation,Supply Chain,Judy Baker,Cristian Santos,Medium,High,Medium,Active,On Track,2026-04-11,2026-11-13,,34,750000,264280.35,817457.72,False,False,False,True,129,0,7,2,1,66,60,28.57,2,2,1,0,21,15,485719.65,-67457.72,0.0,Within Budget,Forecast Over Budget,High,Red,True
PMO-0039,Compliance Vendor Risk Reduction,Supplier Development,Compliance,Patty Perez,Monica Herrera,Medium,Medium,High,Active,On Track,2025-12-01,2026-11-24,,58,930000,567368.2,1074486.81,False,False,False,True,140,0,7,3,1,190,129,42.86,2,2,1,0,24,20,362631.8,-144486.81,0.0,Within Budget,Forecast Over Budget,High,Red,True
PMO-0043,Compliance Customer Response Improvement,Customer Experience,Compliance,Brian Ramirez,Dylan Miller,Medium,Medium,Medium,Active,On Track,2026-03-02,2027-01-24,,48,360000,207906.57,389864.34,False,False,False,True,201,0,4,0,1,62,62,0.0,2,2,1,0,19,15,152093.43,-29864.34,0.0,Within Budget,Forecast Over Budget,High,Red,True
PMO-0053,Manufacturing Cycle Time Reduction,Process Improvement,Manufacturing,Lisa Jackson,Daniel Wagner,Medium,Medium,Medium,Active,On Track,2025-09-19,2026-10-31,,63,135000,83858.5,141680.84,False,False,False,True,116,0,5,3,1,156,156,60.0,1,1,1,0,20,20,51141.5,-6680.84,0.0,Within Budget,Forecast Over Budget,High,Red,True
PMO-0033,Quality Audit Readiness Program,Compliance Initiative,Quality,Justin Baker,Lisa Hensley,Medium,High,High,Completed,Completed,2025-08-02,2026-05-15,2026-01-19,100,915000,1138950.62,1138950.62,True,False,True,True,-53,0,5,5,0,56,0,100.0,2,0,1,0,0,16,-223950.62,-223950.62,24.48,Over Budget,Over Budget,High,Red,True
PMO-0036,Finance Efficiency Savings Project,Cost Reduction,Finance,Margaret Hawkins DDS,Abigail Shaffer,Medium,Medium,Medium,Completed,Completed,2025-10-31,2026-02-02,2026-02-19,100,775000,897843.81,897843.81,True,False,True,True,-155,0,4,4,0,24,0,100.0,2,0,1,0,0,16,-122843.81,-122843.81,15.85,Over Budget,Over Budget,High,Red,True
PMO-0007,Manufacturing Control Review Initiative,Compliance Initiative,Manufacturing,Holly Wood,Daniel Wagner,High,Low,Medium,Completed,Completed,2025-12-31,2026-04-13,2026-01-08,100,710000,752530.83,752530.83,True,False,True,True,-85,0,4,4,0,10,0,100.0,2,1,1,0,12,20,-42530.83,-42530.83,5.99,Over Budget,Over Budget,High,Red,True
PMO-0002,Operations Audit Readiness Program,Compliance Initiative,Operations,Justin Baker,Gabrielle Davis,Medium,High,Medium,Active,On Track,2026-07-04,2027-07-22,,5,465000,5764.98,427953.11,False,False,False,False,380,0,6,0,0,0,0,0.0,4,3,1,0,29,20,459235.02,37046.89,0.0,Within Budget,Under Budget >10%,High,Red,True
PMO-0010,Quality Performance Management Upgrade,Operational Excellence,Quality,Tommy Walter,Michele Williams,High,Low,Medium,Completed,Completed,2025-04-08,2026-01-05,2025-12-03,100,1160000,1050725.15,1050725.15,True,False,False,False,-183,0,6,6,0,59,0,100.0,2,1,1,0,4,20,109274.85,109274.85,0.0,Within Budget,Within Budget,High,Red,True
PMO-0022,Finance Performance Management Upgrade,Operational Excellence,Finance,Carla Gray,Daniel Wagner,High,Low,Medium,Not Started,Not Started,2026-08-25,2027-10-12,,0,1070000,48648.64,1059913.1,False,False,False,False,462,0,5,0,0,0,0,0.0,2,2,1,0,24,20,1021351.36,10086.9,0.0,Within Budget,Under Budget >10%,High,Red,True
PMO-0040,Customer Service Business System Rollout,System Implementation,Customer Service,Patty Perez,Lisa Hensley,High,Medium,Medium,Not Started,Not Started,2026-08-17,2026-10-31,,0,685000,21836.34,829209.26,False,False,False,True,116,0,6,0,0,0,0,0.0,2,2,1,0,16,15,663163.66,-144209.26,0.0,Within Budget,Forecast Over Budget,High,Red,True
PMO-0050,Procurement Compliance Documentation Upgrade,Compliance Initiative,Procurement,Patty Perez,Jamie Arnold,Medium,High,Medium,Active,On Track,2026-04-24,2027-03-13,,17,755000,244137.93,909783.46,False,False,False,True,249,0,7,1,0,24,0,14.29,3,3,1,0,39,15,510862.07,-154783.46,0.0,Within Budget,Forecast Over Budget,High,Red,True
PMO-0069,Customer Service Lean Execution Initiative,Operational Excellence,Customer Service,Justin Baker,Noah Rhodes,Medium,Low,High,Not Started,Not Started,2026-09-07,2027-10-04,,0,175000,790.04,208662.28,False,False,False,True,454,0,6,0,0,0,0,0.0,2,2,1,0,23,15,174209.96,-33662.28,0.0,Within Budget,Forecast Over Budget,High,Red,True
PMO-0020,Operations Approval Automation,Automation,Operations,Holly Wood,Dylan Miller,Medium,Medium,High,Active,Delayed,2025-05-13,2025-08-21,,95,1185000,1215882.28,1215882.28,False,True,True,True,-320,320,7,3,4,1516,1506,42.86,1,1,0,1,9,9,-30882.28,-30882.28,2.61,Over Budget,Over Budget,High,Red,True
PMO-0073,Customer Service Business System Rollout,System Implementation,Customer Service,Tommy Walter,Gabrielle Davis,Low,Medium,High,Active,Delayed,2025-06-09,2026-04-19,,95,895000,841835.49,1007600.38,False,True,False,True,-79,79,4,0,4,946,946,0.0,4,3,0,1,8,6,53164.51,-112600.38,0.0,Within Budget,Forecast Over Budget,High,Red,True
PMO-0013,Manufacturing Process Standardization,Process Improvement,Manufacturing,Carla Gray,Daniel Wagner,Low,High,Low,Active,On Track,2025-12-30,2026-11-20,,50,810000,490611.96,896949.53,False,False,False,True,136,0,7,1,3,244,244,14.29,3,3,0,1,13,8,319388.04,-86949.53,0.0,Within Budget,Forecast Over Budget,High,Red,True
PMO-0014,Operations Data Visibility Platform,Digital Transformation,Operations,Ethan Adams,Gabrielle Davis,Critical,High,Medium,Cancelled,Cancelled,2026-06-14,2026-10-02,,73,315000,41010.72,41010.72,False,False,False,False,87,0,5,1,1,5,5,20.0,3,1,0,1,2,6,273989.28,273989.28,0.0,Within Budget,Under Budget >10%,High,Red,True
PMO-0051,Quality Customer Visibility Upgrade,Customer Experience,Quality,Patty Perez,Angie Henderson,Critical,Low,High,Active,Delayed,2025-03-01,2025-12-02,,93,105000,124637.48,124637.48,False,True,True,True,-217,217,7,3,4,1378,1352,42.86,3,2,0,0,18,12,-19637.48,-19637.48,18.7,Over Budget,Over Budget,Medium,Red,True
PMO-0065,Supply Chain Master Data Quality Program,Data Governance,Supply Chain,Derek Zuniga,Monica Herrera,Medium,Low,Medium,Cancelled,Cancelled,2025-11-09,2026-02-15,,75,665000,278065.96,278065.96,False,False,False,False,-142,0,7,3,4,812,803,42.86,3,3,0,0,16,6,386934.04,386934.04,0.0,Within Budget,Under Budget >10%,Medium,Red,True
PMO-0041,Procurement Workflow Automation,Automation,Procurement,Carla Gray,Gabrielle Davis,Medium,Medium,Medium,Active,On Track,2025-09-08,2026-08-10,,84,405000,376198.82,381452.48,False,False,False,False,34,0,5,2,3,235,234,40.0,3,2,0,0,14,10,28801.18,23547.52,0.0,Within Budget,Within Budget,Medium,Red,True
PMO-0035,IT ERP Enhancement,System Implementation,IT,Tommy Walter,Connie Lawrence,Medium,Low,High,Active,At Risk,2025-11-14,2026-07-26,,95,890000,1008141.21,1028085.73,False,False,True,True,19,0,5,3,2,203,132,60.0,1,1,0,0,4,4,-118141.21,-138085.73,13.27,Over Budget,Over Budget,Medium,Red,True
PMO-0031,Compliance Master Data Quality Program,Data Governance,Compliance,Margaret Hawkins DDS,Ryan Munoz,Medium,Medium,Medium,On Hold,Delayed,2025-05-27,2025-09-17,,64,365000,217674.94,430980.66,False,True,False,True,-293,293,7,5,2,735,686,71.43,3,3,0,0,21,12,147325.06,-65980.66,0.0,Within Budget,Forecast Over Budget,Medium,Red,True
PMO-0042,Operations Control Review Initiative,Compliance Initiative,Operations,Ethan Adams,Ryan Munoz,Critical,Medium,High,On Hold,Delayed,2025-12-16,2026-06-24,,29,100000,41451.09,116983.85,False,True,False,True,-13,13,5,3,2,322,248,60.0,4,3,0,0,10,5,58548.91,-16983.85,0.0,Within Budget,Forecast Over Budget,Medium,Red,True
PMO-0009,Customer Service Performance Management Upgrade,Operational Excellence,Customer Service,Holly Wood,Lisa Hensley,Medium,High,High,Active,On Track,2026-03-17,2026-12-02,,36,340000,128007.16,378810.49,False,False,False,True,148,0,7,1,2,135,127,14.29,2,2,0,0,17,12,211992.84,-38810.49,0.0,Within Budget,Forecast Over Budget,Medium,Red,True
PMO-0059,Operations Business System Rollout,System Implementation,Operations,Ethan Adams,Michele Williams,High,High,Medium,Active,On Track,2025-10-09,2026-08-17,,75,845000,877712.34,1045143.79,False,False,True,True,41,0,6,5,1,108,4,83.33,1,0,0,0,0,6,-32712.34,-200143.79,3.87,Over Budget,Over Budget,Low,Red,True
PMO-0037,Compliance Customer Response Improvement,Customer Experience,Compliance,Tommy Walter,Monica Herrera,Medium,Medium,Medium,Active,Delayed,2025-10-20,2026-01-25,,95,55000,49299.12,66114.74,False,True,False,True,-163,163,4,3,1,233,183,75.0,4,3,0,0,16,9,5700.88,-11114.74,0.0,Within Budget,Forecast Over Budget,Medium,Red,True
PMO-0054,Engineering Cost Avoidance Program,Cost Reduction,Engineering,Derek Zuniga,Ryan Munoz,Medium,Medium,Medium,On Hold,Delayed,2025-05-30,2026-05-28,,49,585000,419565.46,702734.59,False,True,False,True,-40,40,5,4,1,363,343,80.0,2,2,0,0,11,8,165434.54,-117734.59,0.0,Within Budget,Forecast Over Budget,Medium,Red,True
PMO-0038,Engineering Vendor Risk Reduction,Supplier Development,Engineering,Holly Wood,Jamie Arnold,Medium,Low,Medium,On Hold,Delayed,2025-04-14,2026-06-03,,59,710000,524916.67,721228.16,False,True,False,True,-34,34,4,3,1,339,283,75.0,4,2,0,0,11,9,185083.33,-11228.16,0.0,Within Budget,Forecast Over Budget,Medium,Red,True
PMO-0017,Engineering Digital Control Tower,Digital Transformation,Engineering,Derek Zuniga,Jamie Arnold,High,Low,Medium,Completed,Completed,2026-01-06,2026-04-27,2026-03-18,100,1070000,1315623.01,1315623.01,True,False,True,True,-71,0,5,5,0,48,0,100.0,0,0,0,0,0,0,-245623.01,-245623.01,22.96,Over Budget,Over Budget,Low,Red,True
PMO-0049,Customer Service Lean Execution Initiative,Operational Excellence,Customer Service,Justin Baker,Gabrielle Davis,Medium,Medium,Low,Completed,Completed,2025-02-08,2025-10-21,2025-08-26,100,930000,1091120.78,1091120.78,True,False,True,True,-259,0,4,4,0,24,0,100.0,1,0,0,0,0,2,-161120.78,-161120.78,17.32,Over Budget,Over Budget,Low,Red,True
PMO-0004,IT Service Performance Initiative,Customer Experience,IT,Judy Baker,Ryan Munoz,Medium,Low,High,Completed,Completed,2025-03-18,2026-01-22,2025-09-27,100,215000,243644.24,243644.24,True,False,True,True,-166,0,7,7,0,76,0,100.0,2,0,0,0,0,12,-28644.24,-28644.24,13.32,Over Budget,Over Budget,Low,Red,True
PMO-0023,Manufacturing Process Standardization,Process Improvement,Manufacturing,Tommy Walter,Angie Henderson,Low,High,Medium,Completed,Completed,2025-12-20,2026-04-03,2026-04-21,100,1105000,1232084.85,1232084.85,True,False,True,True,-95,0,6,6,0,27,0,100.0,2,0,0,0,0,10,-127084.85,-127084.85,11.5,Over Budget,Over Budget,Low,Red,True
PMO-0078,Manufacturing Workflow Automation,Automation,Manufacturing,Brian Ramirez,Daniel Wagner,Medium,High,High,Completed,Completed,2025-03-29,2025-09-16,2025-09-04,100,1095000,1162736.95,1162736.95,True,False,True,True,-294,0,6,6,0,33,0,100.0,2,1,0,0,12,12,-67736.95,-67736.95,6.19,Over Budget,Over Budget,Medium,Red,True
PMO-0008,IT Control Review Initiative,Compliance Initiative,IT,Lisa Jackson,Jamie Arnold,High,Medium,High,Completed,Completed,2026-06-28,2027-04-01,2026-07-05,100,350000,357972.3,357972.3,True,False,True,True,268,0,6,6,0,0,0,100.0,0,0,0,0,0,0,-7972.3,-7972.3,2.28,Over Budget,Over Budget,Low,Red,True
